,Course ID,Course Title,Course Credits,Description,ARTSCI,ARCH,ART,EN,BU,Section,Day,Time,Building,Instructor,Final Exam,Seats,Enroll,WaitList
19,E62 BME 494,Ultrasound Imaging,3.0 Units,"Ultrasound imaging is the most widely used medical imaging modality in the world. This course offers an introduction to the medical ultrasound field. It exposes students to fundamental physical principles of ultrasound, ultrasound imaging, and ultrasound therapy. It will also introduce emerging ultrasound technologies in industry and clinics. Students will learn via lectures, homework, lab exercises, and a final project to gain knowledge, learn the ability to think critically, and develop problem-solving skills.",,,,TU 3.00 ,,01,-T-R---,8:30A-9:50A,Whitaker / 216   ,Chen,Dec 13 2024  1:00PM -  3:00PM,30,0,0
20,E62 BME 496,Design and Development of Optical Imaging Systems,3.0 Units,"In this course, students will learn the design principles of optical imaging systems and learn to use optical simulation software, such as ZEMAX/OpticsStudio. There is also hands-on imaging system development components that will allow students to practice skills developed to make prototype imaging systems. Prerequisites: ESE 330, ESE438 or equivalent",,,,TU 3.00 ,,01,-T-R---,1:00P-2:20P,Whitaker / 216   ,Zhou,Paper/Project/TakeHome,0,0,0
21,E62 BME 496,Design and Development of Optical Imaging Systems,3.0 Units,"In this course, students will learn the design principles of optical imaging systems and learn to use optical simulation software, such as ZEMAX/OpticsStudio. There is also hands-on imaging system development components that will allow students to practice skills developed to make prototype imaging systems. Prerequisites: ESE 330, ESE438 or equivalent",,,,TU 3.00 ,,A,-T-R---,1:00P-2:20P,Whitaker / 135   ,Zhou,Default - none,0,0,0
22,E62 BME 501,Graduate Seminar,0.0 Unit,This is a pass/fail course which is required for the PhD degree. A passing grade is required for each semester of full-time enrollment (6 units or more). A passing grade is received by attendance at the regularly scheduled BME seminars.,,,,,,01,---R---,10:00A-11:20A,Whitaker / 218   ,Shao,No final,178,0,0
23,E62 BME 501C,BME Doctoral Seminar Series,1.0 Unit,This is a one unit credit option for BME students who attend regularly scheduled BME seminars (or approved substitute seminars). A satisfactory grade is obtained by submission of a two page peer reviewed paper written by one of the regularly scheduled BME seminar speakers whose seminar you attended. Papers are to be submitted to the Graduate Student Administrator for review by the Director of Doctoral Studies. Prerequisites: Students must be current BME students in their 2nd year and beyond in order to register,,,,,,01,---R---,10:00A-11:20A,Whitaker / 218   ,Shao,No final,150,0,0
24,E62 BME 506,Seminar in Imaging Science and Engineering,1.0 Unit,"This seminar course consists of a series of tutorial lectures on Imaging Science and Engineering with emphasis on applications of imaging technology. Students are exposed to a variety of imaging applications that vary depending on the semester, but may include multispectral remote sensing, astronomical imaging, microscopic imaging, ultrasound imaging, and tomographic imaging. Guest lecturers come from several parts of the university. This course is required of all students in the Imaging Science and Engineering program; the only requirement is attendance. This course is graded Pass/Fail. Prerequisite: Admission to Imaging Science and Engineering Program.",,,,,,01,----F--,8:30A-9:50A,Green Hall / L0120 ,O'Sullivan,No final,40,0,0
25,E62 BME 523,Biomaterials Science,3.0 Units,"An understanding of the interactions between biological systems and artificial materials is of vital importance in the design of medical devices. This course will introduce the principles of biomaterials science, unifying knowledge from the fields of biology, materials science, surface science, and colloid science. The course will be taught from the primary scientific literature, focusing on the study of protein/surface interactions and hydrogel materials. Prerequisite: E37 MEMS 3610 OR MEMS 3601 OR permission of instructor",,,,TU 3.00 ,,01,-T-R---,1:00P-2:20P,Whitaker / 218   ,"Schreiber, Huebsch",Dec 17 2024  1:00PM -  3:00PM,40,0,0
26,E62 BME 530A,Molecular Cell Biology for Engineers,3.0 Units,"This course is designed for upper-level undergraduates and first-year graduate students with a background in engineering. It covers the biology of cells of higher organisms: protein structure and function; cellular membranes and organelles; cell growth and oncogenic transformation; cellular transport, receptors, and cell signaling; and the cytoskeleton, the extracellular matrix, and cell movement. Emphasis will be placed on examples relevant to biomedical engineering. In addition to lecture material, a focus will be placed on understanding the experimental techniques used in cell biology and the critical analysis of primary literature. Note that this course does not count for engineering topics credits and that it is meant to fulfill a life science requirement for engineering or physical sciences graduate students. Prerequisites: Biol 2960 and Biol 2970 or graduate standing.",,,,,,01,M-W----,10:00A-11:20A,Brauer Hall / 012   ,Schreiber,Dec 16 2024 10:30AM - 12:30PM,55,0,0
27,E62 BME 537,Algorithms for Computational Biology,3.0 Units,"This course is a survey of algorithms and mathematical methods in biological sequence analysis (with a strong emphasis on probabilistic methods) and systems biology. Sequence analysis topics include introduction to probability, probabilistic inference in missing data problems, hidden Markov models (HMMs), sequence alignment, and identification of transcription-factor binding sites. Systems biology topics include the mapping of gene regulatory networks, quantitative modeling of gene regulatory networks, and applications of deep learning in computational biology. Prerequisite: CSE 131 or CSE 501N and calculus. Strongly recommend: Any proof based math course.",,,,BME T2 TU 3.00 ,,01,M-W-F--,1:00P-1:50P,Farrell T/L Ctr / HLDN  ,Brent,No final,0,0,0
28,E62 BME 5565,Mechanobiology of Cells and Matrices,3.0 Units,"At the interface of the cell and the extracellular matrix, mechanical forces regulate key cellular and molecular events that profoundly affect aspects of human health and disease. This course offers a detailed review of biomechanical inputs that drive cell behavior in physically diverse matrices. In particular, cytoskeletal force-generation machineries, mechanical roles of cell-cell and cell-matrix adhesions, and regulation of matrix deformations are discussed. Also covered are key methods for mechanical measurements and mathematical modeling of cellular response. Implications of matrix-dependent cell motility in cancer metastasis and embryonic development are discussed. Prerequisite: graduate standing or permission of the instructor",,,,BME T2 TU 3.00 ,,01,M-W----,10:00A-11:20A,TBA,Pathak,Default - none,25,0,0
29,E62 BME 565,Biosolid Mechanics,3.0 Units,"Introduction to the mechanical behaviors of biological tissues of musculoskeletal, cardiac and vascular systems. Topics to be covered include static force analysis and nonlinear optimization theory; linearly elastic models for stress-strain analysis and solutions to relevant problems in bioelasticity; models of active structures (e.g., muscles); strain energy methods and nonlinear tissue behaviors; and introductory theory for finite element analysis. Emphasis will be placed on modeling stress-strain relations with relevance to biological tissues. Prerequisites: BME 240 or equivalent and ESE 318 and ESE 319.",,,,TU 3.00 ,,01,M-W----,1:00P-2:20P,Whitaker / 218   ,Oyen,Default - none,0,0,0
30,E62 BME 570,Mathematics of Imaging Science,3.0 Units,"This course will expose students to a unified treatment of the mathematical properties of images and imaging. This will include an introduction to linear vector space theory, operator theory on Hilbert spaces, and concepts from applied functional analysis. Further, concepts from generalized functions, Fourier analysis, and Radon transform will be discussed. These tools will be applied to conduct deterministic analyses of imaging systems that are described as continuous-to-continuous, continuous-to-discrete, and discrete-to-discrete mappings from object properties to image data. In addition, imaging systems will be analyzed in a statistical framework where stochastic models for objects and images will be introduced. Prerequisite: Graduate standing or consent of instructor.",,,,,,01,M-W----,2:30P-3:50P,Whitaker / 218   ,"Jha, A",Dec 16 2024  3:30PM -  5:30PM,35,0,0
31,E62 BME 5911,Cardiovascular Biophysics Journal Club,1.0 Unit,"This journal club is intended for beginning graduate students, advanced undergraduates, and MSTP students with a background in the quantitative sciences (engineering, physics, math, chemistry, etc). The subjects covered are inherently multidisciplinary. We will review landmark and recent publications in quantitative cardiovascular physiology, mathematical modeling of physiologic systems and related topics such as chaos theory and nonlinear dynamics of biological systems. Familiarity with calculus, differential equations, and basic engineering/thermodynamic principles is assumed. Weekly meetings to review and discuss current cardiovascular physiology and biophysics journal articles. Prerequisite: Calculus, physiology/anatomy is optional.",,,,,,01,TBA,,TBA,"Kovacs, S",No final,10,0,0
32,E62 BME 5915,Journal Club in Neuroengineering,1.0 Unit,"Classic papers on neuroscience topics including membrane excitability, synaptic transmission and signaling will be discussed by students and the instructor. The course is designed to bring graduate students with engineering, computational, and biological background to the bases of translational neuroscience and neurotechnology.",,,,,,01,-T-----,4:00P-5:20P,Whitaker / 216   ,Cui,See department,10,0,0
33,E62 BME 594,Ultrasound Imaging,3.0 Units,"Ultrasound imaging is the most widely used medical imaging modality in the world. This course offers an introduction to the medical ultrasound field. It exposes students to fundamental physical principles of ultrasound, ultrasound imaging, and ultrasound therapy. It will also introduce emerging ultrasound technologies in industry and clinics. Students will learn via lectures, homework, lab exercises, and a final project to gain knowledge, learn the ability to think critically, and develop problem-solving skills.",,,,TU 3.00 ,,01,-T-R---,8:30A-9:50A,Whitaker / 216   ,Chen,Dec 13 2024  1:00PM -  3:00PM,30,0,0
34,E62 BME 596,Design and development of optical imaging systems,3.0 Units,"In this course, students will learn the design principles of optical imaging systems and learn to use optical simulation software, such as ZEMAX/OpticsStudio. There is also hands-on imaging system development components that will allow students to practice skills developed to make prototype imaging systems. Prerequisites: ESE 330, ESE438 or equivalent",,,,TU 3.00 ,,01,-T-R---,1:00P-2:20P,Whitaker / 216   ,Zhou,Paper/Project/TakeHome,0,0,0
35,E62 BME 596,Design and development of optical imaging systems,3.0 Units,"In this course, students will learn the design principles of optical imaging systems and learn to use optical simulation software, such as ZEMAX/OpticsStudio. There is also hands-on imaging system development components that will allow students to practice skills developed to make prototype imaging systems. Prerequisites: ESE 330, ESE438 or equivalent",,,,TU 3.00 ,,A,-T-R---,1:00P-2:20P,Whitaker / 135   ,Zhou,Default - none,0,0,0
36,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,01,TBA,,TBA,Setton,Default - none,0,0,0
37,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,02,TBA,,TBA,Zhu,Default - none,0,0,0
38,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,03,TBA,,TBA,Jha,Default - none,0,0,0
39,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,04,TBA,,TBA,Rudra,Default - none,0,0,0
40,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,05,TBA,,TBA,Guilak,Default - none,0,0,0
41,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,06,TBA,,TBA,Zhang,Default - none,0,0,0
42,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,07,TBA,,TBA,Sotiras,Default - none,0,0,0
43,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,08,TBA,,TBA,Millman,Default - none,0,0,0
44,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,09,TBA,,TBA,Guan,Default - none,0,0,0
45,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,10,TBA,,TBA,Zhou,Default - none,0,0,0
46,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,11,TBA,,TBA,Bauer,Default - none,0,0,0
47,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,12,TBA,,TBA,Chen,Default - none,0,0,0
48,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,13,TBA,,TBA,Barbour,Default - none,0,0,0
49,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,14,TBA,,TBA,Kerschensteiner,Default - none,0,0,0
50,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,15,TBA,,TBA,Maher,Default - none,0,0,0
51,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,16,TBA,,TBA,DeSelm,Default - none,0,0,0
52,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,17,TBA,,TBA,Lew,Default - none,0,0,0
53,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,18,TBA,,TBA,Brunner,Default - none,0,0,0
54,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,19,TBA,,TBA,Chen,Default - none,0,0,0
55,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,20,TBA,,TBA,Curiel,Default - none,0,0,0
56,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,21,TBA,,TBA,Solnica-Krezel,Default - none,0,0,0
57,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,22,TBA,,TBA,MacEwan,Default - none,0,0,0
58,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,23,TBA,,TBA,Huebsch,Default - none,0,0,0
59,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,24,TBA,,TBA,O'Brien,Default - none,0,0,0
60,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,25,TBA,,TBA,Raman,Default - none,0,0,0
61,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,26,TBA,,TBA,Lim,Default - none,0,0,0
62,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,27,TBA,,TBA,Bersi,Default - none,0,0,0
63,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,28,TBA,,TBA,Hughes,Default - none,0,0,0
64,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,29,TBA,,TBA,O'Sullivan,Default - none,0,0,0
65,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,30,TBA,,TBA,Piston,Default - none,0,0,0
66,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,31,TBA,,TBA,Thorek,Default - none,0,0,0
67,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,32,TBA,,TBA,Silva,Default - none,0,0,0
68,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,33,TBA,,TBA,French,Default - none,0,0,0
69,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,34,TBA,,TBA,Shmuylovich,Default - none,0,0,0
70,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,35,TBA,,TBA,Nichols,Default - none,0,0,0
71,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,36,TBA,,TBA,Zemlin,Default - none,0,0,0
72,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,37,TBA,,TBA,Cui,Default - none,0,0,0
73,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,38,TBA,,TBA,Edwards,Default - none,0,0,0
74,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,39,TBA,,TBA,Seanez,Default - none,0,0,0
75,E62 BME 599,Masters Research,Var. Units (max = 6.0),All sections TBA.,,,,,,75,TBA,,TBA,Singamaneni,Default - none,0,0,0
76,E62 BME 600,Doctoral Research,Var. Units (max = 9.0),All sections TBA.,,,,,,02,TBA,,TBA,Singamaneni,Default - none,999,0,0
77,E62 BME 600,Doctoral Research,Var. Units (max = 9.0),All sections TBA.,,,,,,03,TBA,,TBA,Thorek,Default - none,999,0,0
78,E62 BME 600,Doctoral Research,Var. Units (max = 9.0),All sections TBA.,,,,,,04,TBA,,TBA,Moran,Default - none,999,0,0
79,E62 BME 600,Doctoral Research,Var. Units (max = 9.0),All sections TBA.,,,,,,05,TBA,,TBA,"Tang, S.",Default - none,999,0,0
80,E62 BME 600,Doctoral Research,Var. Units (max = 9.0),All sections TBA.,,,,,,06,TBA,,TBA,Rudra,Default - none,999,0,0
81,E62 BME 600,Doctoral Research,Var. Units (max = 9.0),All sections TBA.,,,,,,07,TBA,,TBA,Bark,Default - none,999,0,0
82,E62 BME 600,Doctoral Research,Var. Units (max = 9.0),All sections TBA.,,,,,,08,TBA,,TBA,"Setton, L.",Default - none,999,0,0
83,E62 BME 600,Doctoral Research,Var. Units (max = 9.0),All sections TBA.,,,,,,09,TBA,,TBA,Meyer,Default - none,999,0,0
