Reviews,First Name,Last Name,Avg Difficulty,Avg Rating,Department,Comment,Difficulty Rating,Grade,Clarity Rating,Rating Tags
15,Joe,Klaesner,4.4,2,Engineering,Dr. Klaesner didn't care about students. What he cares about is throwing tons of criticism into students' homework. He always got ready to read his lecture slides. There was no guidance/mentoring from him for students; what he did was simply introduce some basic concepts and read his boring grading rubrics. I am VERY DISAPPOINTED with his class.,5,Rather not say,1,Tough grader--Get ready to read
16,Joe,Klaesner,4.4,2,Engineering,He looked so confused when our group was presenting the final presentation. No idea about what I learned from this class. ,5,C,1,Tough grader--Get ready to read--Lots of homework
17,Joe,Klaesner,4.4,2,Engineering,His senior design class is not helpful for me to get insights into professional ways of developing an engineering product. The only few things I learned are to find a client and define the problem...,5,Rather not say,1,Tough grader--Get ready to read--Lots of homework
18,Joe,Klaesner,4.4,2,Engineering,"Prof Klaesner knows ~a lot~ about circuits and electronics. He cares about the students a lot and even though he rambles a little bit, its with the intention of explaining applications of what you're learning. He also does a ton for getting students internships and is very personable if you just strike up a conversation. ",2,A+,4,
19,Joe,Klaesner,4.4,2,Engineering,"Absolutely ridiculous professor. He and his TAs are extremely disrespectful to students, throwing out suggestions in very condescending ways. TAs are helpful at the very least and Dr. Klaesner is neither helpful nor respectful. I also know from my peers that no one thinks he is a good teacher and most of us agree with his absurdity. ",3,Not sure yet,1,
20,Daniel,Moran,3,4.5,Engineering,"Clear explanations.   Easy to stay awake cause he's high energy.  Good teacher, well designed course.",3,,5,
21,Daniel,Moran,3,4.5,Engineering,"The class is taught very well, and he makes it very interesting.",3,,5,
22,Abhinav,Jha,1.7,5,Engineering,"Though the homework takes some time, Jha tries hard to make sure no student is lost and can get good grades by giving lots of extra credits (Most people got A and A+). The most useful and inspiring class I've taken so far!",2,A,5,Accessible outside class--Inspirational--Amazing lectures
23,Abhinav,Jha,1.7,5,Engineering,Definitely one of the easiest for BME electives. &lt;4 hrs per week spent on this course.,2,A,5,Gives good feedback--Graded by few things--Amazing lectures
24,Abhinav,Jha,1.7,5,Engineering,Jha is really good at teaching and knows what he's talking about. Exams/HWs/Projects were fairly ok. Easy A :),1,A+,5,Clear grading criteria--Amazing lectures--Caring
25,Kurt,Thoroughman,4,2,Engineering,"I don't think I actually fully learnt any new material in his class- reads off the textbook during lecture, doesn't explain things when we try to ask him questions, and the material covered in class doesn't prepare us for homeworks/midterm quiz/final exam at all.",4,,1,
26,Kurt,Thoroughman,4,2,Engineering,The BME circuits class is a joke.,1,A,1,
27,Kurt,Thoroughman,4,2,Engineering,"Returns 0 grades. Does not answer questions at all. Refuses to write anything on the board, not even working out problems. Lectures are disjointed, eclectic, and often irrelevant. Entire course based on a random professor's lecture notes from a different school- not even a BME class. Cool guy, really passionate, good lab section, otherwise not good",4,A,1,Graded by few things--Lecture heavy
28,Kurt,Thoroughman,4,2,Engineering,"I was originally excited to take the new BME circuits course but was majorly disappointed once the class began. The lectures made no sense and left me more confused than ever before. No example problems were ever worked out in class, even though our final and homework consisted of working out problems. The grading is also ambiguous.",4,Not sure yet,1,Graded by few things--Hilarious
29,Kurt,Thoroughman,4,2,Engineering,"WORST PROFESSOR IVE EVER HAD. This man belongs in a research lab, not a classroom. Im sure he knows about circuits, but he has zero inability to pass that knowledge to anyone else. He also doesn't grade homework for months!! WashU needs to seriously reconsider his teaching position. Take ESE230 instead to actually learn something. Overall terrible.",4,,1,Graded by few things--Lecture heavy
30,Kurt,Thoroughman,4,2,Engineering,"Thoroughman is the absolute worst professor Ive ever had. He rambles on about things that arent related to the material, chastises students for not knowing things he didnt teach, and throws a full-on hissy fit if someone asks him for an example of what hes talking about. I am leaving BME because of this man, and I hope WashU fires him.",5,A,1,
31,Kurt,Thoroughman,4,2,Engineering,super hard class but thoroughman is a really great guy who wants the best for his students.,5,A+,5,Gives good feedback--Respected--Accessible outside class
32,Kurt,Thoroughman,4,2,Engineering,BME220 is a very interesting class. It gave me a new perspective on the college education system while giving me no new insight on circuits. We spend 80k to for a carbon copy of another professors website. Classes consist of rambling that nobody understands. When asked for examples he aggressively refuses and short circuits. Please do not take!!!!!,4,Not sure yet,1,Graded by few things
33,Kurt,Thoroughman,4,2,Engineering,DONT TAKE BME 220. That class is a joke. Just take normal circuits. Thoroughman is very vague in his lectures. Honestly you could probably learn more by reading a textbook. He teaches entirely from a webpage from another professor from Harvey Mudd. The only time anyone actually learns anything is from the labs.,4,,1,
34,Kurt,Thoroughman,4,2,Engineering,He teaches the brand new bme 220 class and is an actual disaster. He cant even come up with his own notes he stole a professor from Harvey Mudds notes and refuses to accept any criticism from the class. No body has any idea whats going on. Take normal circuits.,4,,1,
35,Kurt,Thoroughman,4,2,Engineering,Intro to BME is a joke. The lectures do not matter. I have attended them all and none of them relate to the material on the test. The homework also has no correlation to the test. You go in and try to bs your way through the exam and hope he likes what you wrote down.,5,,1,
36,Kurt,Thoroughman,4,2,Engineering,"Such a hard class, but he knows it. He's not a bad guy, but this class is meant as a weed out class. He does care about students, the material is just insane for a freshman.",5,,2,
37,Kurt,Thoroughman,4,2,Engineering,"This class is hard because it is meant to be hard. Be sure to use the PST leaders as much as you can on the homework because you won't make progress without them. He guides you on what to study for exams. Pay attention to the things he repeats because they will be tested. This was my hardest class of the semester, but my far the most interesting.",4,A+,2,
38,Kurt,Thoroughman,4,2,Engineering,"The most energetic lecturer I've had.  Great at engaging students, very entertaining.  Brilliant and very passionate about his portion of QP.  He's helpful with specific questions and explains CLabs well.",5,,4,
39,Kurt,Thoroughman,4,2,Engineering,previous post may be ironic; he did not hold any office hours and was very unhelpful.,1,,1,
40,Kurt,Thoroughman,4,2,Engineering,Very animated professor. Not entirely understandable at all times but definitely very helpful outside of class. The class itself was challenging yet interesting. Got 4 credits to spare&#63; Take BME301A!,4,,2,
41,Chao,Zhou,4,2.8,Economics,Every lecture is the exact same information as the chapter.  The class wasnt that hard.  She provides a lot of extra credit with practice tests.  The exams are pretty much the same as the practice tests.  The only bad thing was attendance is mandatory and she requires participation as a part of the grade.,2,,3,
42,Chao,Zhou,4,2.8,Economics,"Worst teacher ever. You cannot understand her. All she does is read the powerpoint presentations out loud, and does not explain anything! If you have the choice, do not choose her.",5,,2,
43,Chao,Zhou,4,2.8,Economics,She is very nice and patient to students.  Material is hard but you could seek help from her.,5,,4,
44,Rohit,Pappu,4,2.5,Engineering,"Everything people say about Pappu is true. No body learns everything, everyone gets A's, etc. By far the most condescending prof I've ever had. The lectures are very lofty and theoretical and he NEVER gives examples to illustrate. Even the textbook he chose is awful. Still have no idea what actually happened in that class and what I ""learned."" ",5,A,1,Tough grader--Graded by few things
45,Rohit,Pappu,4,2.5,Engineering,Almost half the class attended less than half of the lectures and almost everyone ended with an A... No one learned anything in this class.,4,A,1,Lecture heavy
46,Rohit,Pappu,4,2.5,Engineering,"This class defies learning in that you don't have to understand the material well to get a good grade... just get a really good study group and memorize the test questions. Obviously, as legendary as papputine considers himself, he doesn't care a lot about students. Basically never replies to email, intimidating to ask questions.",4,A,2,Clear grading criteria--Graded by few things
47,Rohit,Pappu,4,2.5,Engineering,"96+ is an A while I get an A-. Can't see my final paper so I don't know whether there's a mistake. And what I know is, HE OFTEN HAS CALCULATION MISTAKES!!!",4,A-,2,Lecture heavy--Tough grader
48,Rohit,Pappu,4,2.5,Engineering,"90-96 was an A-, 96-100 was an A, while 100+ was A+. The 48-hour take home final takes you ENTIRELY 48 HOURS.",4,A,2,Participation matters--Test heavy--Lecture heavy
49,Rohit,Pappu,4,2.5,Engineering,"Easily one of the most genuine professors I've had at WashU. Really cares about students understanding the material and wants them to do well. Go to recitation, email him questions, and you'll be alright.",4,,5,Inspirational--ACCESSIBLE OUTSIDE CLASS--Caring
50,Rohit,Pappu,4,2.5,Engineering,Dr. Pappu is very condescending and appears non-interested in teaching. He's apparently mad that he couldn't get into med school or something (he vaguely mentioned this to one of his prior lab member),3,A-,1,
51,Rohit,Pappu,4,2.5,Engineering,Awful professor. Shows no respect to students when you talk to him in person.,3,,1,
52,Rohit,Pappu,4,2.5,Engineering,"Simply put, he doesn't really care. There's a reason that his exams are a joke. He's pretty condescending to students on multiple occasions. But, it's quite an easy A if you put in the work.",2,A,3,Respected--Clear grading criteria--LECTURE HEAVY
53,Rohit,Pappu,4,2.5,Engineering,Judge it yourself. He said in front of the class that he would give an A to a student who would beat a student who unfortunately gave a wrong answer. That's a Wash U professor!!!!!!,5,,1,
54,Rohit,Pappu,4,2.5,Engineering,"Great Professor. Although material he teaches in this class is tough, Dr. Pappu makes tests and quizzes so easy. He is extremely helpful during his office hours too. Such an easy A class.",2,,3,
55,Rohit,Pappu,4,2.5,Engineering,Great Teacher,5,,5,
56,Rohit,Pappu,4,2.5,Engineering,Rohit is the best!  I love it when he uses words like &quot;chap&quot; and &quot;shenanigans&quot; and &quot;solvophobic&quot;!,5,,5,
57,Rohit,Pappu,4,2.5,Engineering,Favorite class of college. Had a great time. Spent all of his time engaged in an open discussion with the students.,5,,3,
58,Rohit,Pappu,4,2.5,Engineering,"So the book for the class is extremely unhelpful. Every page is filled with numerous formulas and almost all of it is incomprehensible. Unfortunately, every lecture is drawn straight from the textbook and additional explanation is not often provided unless asked for. Overall, I did not gain an understanding of Thermodynamics from this class.",4,,1,
59,Patricia,Widder,3.8,5,Engineering,"Prof Widder is the sweetest person ever and is very respected in the department. She gives good lectures that are easily understood. Study guides prepare you for the test, but the study guide info wasn't explained in depth leaving students stressed and uncertain with exams. However, she is an easy grader and cares about students, so most get As/Bs.",4,A,4,Inspirational--Respected--Lecture heavy
60,Patricia,Widder,3.8,5,Engineering,"Prof. Widder is great! However, 140's format can be a little tedious. The formatting of the homework is a little weird and the sophomore TA's also seemed to be on a bit of a power trip. But besides that, it was great! ",3,A,4,Gives good feedback--Caring--Respected
61,Patricia,Widder,3.8,5,Engineering, Professor Widder makes BME enjoyable. She is extremely dedicated and caring and takes the time to grade our tests and projects all by herself. The class requires a lot of independent study but is very interesting.,3,Not sure yet,5,Group projects--Caring--Lecture heavy
62,Patricia,Widder,3.8,5,Engineering,Prof. Widder is the best professor I've ever had. BME is a hard major but she really makes it fun and extremely engaging.,4,B+,5,Amazing lectures --Inspirational--Caring
63,Patricia,Widder,3.8,5,Engineering,"So sweet and genuinely caring! You can always email her questions and get a quick, helpful response. She is super nice with grading and understands that our course load is extremely tough for the first semester. She even helps run an opportunity page for BME to help us find research/internships! ",3,A,5,Caring--Respected--Accessible outside class
64,Patricia,Widder,3.8,5,Engineering,"Widder is a sweetheart, she is sarcastic enough to keep engagement in lecture and nice enough where no one is intimated to ask questions during and after class. She genuinely cares about her students and wants them to succeed. 10/10 ",3,A,5,Caring--Respected
65,Patricia,Widder,3.8,5,Engineering,Professor Widder is the kindest professor I have had so far. I am so excited to take Biomedical Data Science next semester!,4,A,5,Inspirational--Caring--Accessible outside class
66,Patricia,Widder,3.8,5,Engineering,What can I say about Dr. Widder? She is the greatest teacher ever...,5,A+,5,Amazing lectures --Caring--Respected
67,Patricia,Widder,3.8,5,Engineering,I actually can't imagine the BME department functioning without Professor Widder. She singlehandedly carries the entire department on her back and every single student who interacts with her has nothing but amazing things to say about her. Truly she has made mine and everyone's experience as a BME worthwhile.,3,A,5,Caring
68,Patricia,Widder,3.8,5,Engineering,What more can I say about Dr. Widder that hasn't already been said on this forum? She is truly the greatest teacher at WashU. She makes an effort to get to know you personally if you reach out; her lectures are very well put together; she makes everyone feel like they are part of something greater. Self study will help in 140. Overall great class.,3,A+,5,Inspirational--Caring--Respected
69,Patricia,Widder,3.8,5,Engineering,"She is a wonderful educator and a splendid person. Her slides are well made and doing some self-study is definitely gonna help. However, she shines not bc of her classes but because of who she is. A true gem in BME department.",3,A+,5,Inspirational--Caring--Accessible outside class
70,Patricia,Widder,3.8,5,Engineering,"Widder is a Lebron type in the biomedical engineering department; she deeply cares about the success of her students, is often accessible for any assistance, and shares a genuine passion for the concepts she&#39;s teaching. 140 is a moderately tough class, but it is fair and sets up well for classes you&#39;ll in the future.",4,A+,5,Group projects--Inspirational--Caring
71,Patricia,Widder,3.8,5,Engineering,"The GOAT, singlehandedly carries the BME department. 10/10 professor + human being. 140 was the light in the tunnel during my freshman year. Labs are super fun, lectures are very informational. Prepares you well for the second semester of BME. ",4,A,5,Amazing lectures --Clear grading criteria--Caring
72,Patricia,Widder,3.8,5,Engineering,"BME140 was a fantastic class. It prepares you so well for other classes like Physics, Biology, etc. Widder is literally the greatest teacher to ever exist. She cares so much. So welcoming so amazing. Prof widder feels like family. WE LOVE YOU PROF WIDDER. YOU CARRY THE BME DEPARTMENT. THANK YOU FOR BEING THE BEST!!!!!!!!!!!!!!!!!!!",4,A,5,Inspirational--Caring--Respected
73,Patricia,Widder,3.8,5,Engineering,"Widder is the only reason I'm still a BME at this point. QP is hell and widder was the only reason remotely passed. If you need anything just ask, any time of the day. If you show you are trying, she'll be willing to make any necessary accommodations for you. She deserves a raise, and then some! Give QP some time, ESPECIALLY the 3rd and 4th CLabs.",5,C,5,Accessible outside class--Inspirational--Tough grader
74,Patricia,Widder,3.8,5,Engineering,"Professor Widder is arguably the best part of the BME department at WashU. She always makes sure you are understanding the material and cares about her students well being. I emailed her on a Friday night at 5:30 and she responded in 3 minutes, which shows her dedication to her students. Great professor, and I look forward to more classes with her!",3,A,5,Accessible outside class--Group projects--Caring
75,Patricia,Widder,3.8,5,Engineering,"Widder is the hidden gem of the BME department. She is what will get you through QP as a BME. Highly suggest becoming a regular at her office hours, and getting to know her better. She is a great resource to get help in both classes and just general advice.",4,A,5,Respected--ACCESSIBLE OUTSIDE CLASS--Caring
76,Patricia,Widder,3.8,5,Engineering,Professor Widder made the mess that was interesting BME more bearable.,4,A-,5,ACCESSIBLE OUTSIDE CLASS--Amazing lectures--Caring
77,Patricia,Widder,3.8,5,Engineering,Professor Widder is one of the best professors at WashU. I had her for Themo Lab and took QP I/II with her as the lab professor and I loved having her for all of the classes. She's a professor who genuinely cares about you as a person outside of class. She's understanding about personal situations and is there for class matters or to just talk. 5/5,2,A,5,Inspirational--Caring--GROUP PROJECTS
78,Jin-Yu,Shao,3.5,3,Engineering,"I don't believe he is a tough grader. Once you clearly show your thought process you will get maximum points. Make sure to do all your FBDs, easiest points on the exam. Solve all the lecture and homework problems, and a few extra book problems to prepare for exams. Major Tip: Watch Jeff Hanson's static videos on youtube.",2,A,4,Hilarious--Test heavy--Graded by few things
79,Jin-Yu,Shao,3.5,3,Engineering,"Class got bad when he took over. Exams hard, lectures difficult to follow along. He screenshots the textbook and explains in a more complicated manner than just reading it myself. Was on track to get A in the class before exam 2 (30% of grade). Told us to study homework and notes for exam and it was nothing like it. Worst exam I've had at Washu. ",5,Not sure yet,2,Tough grader--Lecture heavy
80,Kunal,Agrawal,4.4,2.8,Computer Science,"Not really a fan of Agrawal. Her lectures were all over the place, with convoluted explanations of content and poorly organized structure. Her grading criteria was often unclear, and I never really felt comfortable approaching her for help outside the class. Her only saving grace is that her exams weren't terribly difficult.",5,A,2,Lecture heavy--Test heavy
81,Kunal,Agrawal,4.4,2.8,Computer Science,"Easily the most heartless prof Ive ever had. Lectures were so confusing, and she makes notoriously hard exams. Not to mention, so many people were confused that they had to resort to using extra materials or working with each other and instead of passing people (in a pandemic???), she reported them all for academic integrity, so theyre facing Fs.",5,F,1,Test heavy--Tough grader
82,Kunal,Agrawal,4.4,2.8,Computer Science,"She is one of the best cs prof I've ever met. She explains the concepts clearly and very responsive to students. She doesn't rly reply to emails but very helpful in piazza and question sessions. Also, overall class structure was fair. Homeworks and exams were doable if u put some effort, and grading system was also fair. Really enjoyed this class.",4,A,5,Gives good feedback--Respected--Amazing lectures
83,Kunal,Agrawal,4.4,2.8,Computer Science,Professor Agrawal is such an amazing instructor. She gives very clear lectures and very doable homework &amp; exams. Really enjoyed taking her class!,3,A,5,Respected--Inspirational--Amazing lectures
84,Kunal,Agrawal,4.4,2.8,Computer Science,Just reading MIT papers and so on. She cannot remember whole concepts that she uses in class. I did all my homework and paper reviews as best as I could but she graded me B.,3,B+,1,Tough Grader--Get ready to read
85,Kunal,Agrawal,4.4,2.8,Computer Science,She explains things well and is responsive to questions in class.,3,,4,
86,Kunal,Agrawal,4.4,2.8,Computer Science,She's very good about answering questions in lecture and explains algorithms quite clearly.,4,,4,
87,Kunal,Agrawal,4.4,2.8,Computer Science,"This professor cannot clearly explain the knowledge. She used many MIT course materials, even for the homework. And she seldom replied students' email. I highly recommend MIT online courses instead of her course.",4,,1,
88,Kunal,Agrawal,4.4,2.8,Computer Science,Completely unavailable to students. She should forward her paycheck to MIT because their videos were the only way I learned the material.,4,,1,
89,Kunal,Agrawal,4.4,2.8,Computer Science,"She basically follows the MIT open course for her lecture, and most of her homework. The lab instructions are not clear, which makes students hard to test the correctness of their code. The average test scores is about 50%.  Just avoid her section if you are not really necessary to take her class.",5,,2,
90,Kunal,Agrawal,4.4,2.8,Computer Science,"Terrible professor. Incoherent accent, primarily talks to the board. Spends too much time on complex proofs. Seems nice enough as a person, but she has moments where you question that as well",5,,1,
91,Kunal,Agrawal,4.4,2.8,Computer Science,"Loved her! great professor, requires you to focus a lot but its so worth it!",4,A,5,
92,Kunal,Agrawal,4.4,2.8,Computer Science,"I think 241 is one of the hardest classes you can take at WashU. It's really interesting material, just hard. She does a pretty good job explaining it and she covers everything, but it's heavy stuff and you have to work hard in the class. I tried taking 241 with Bueller and she was far better.",5,,3,
93,Kunal,Agrawal,4.4,2.8,Computer Science,"I took her class two years ago and quickly dropped it. She has improved a lot. Her lectures now make way more sense and she is better at explaining material. The class is really hard but incredibly curved. I would avoid the class unless you have to take it, but it is less painful than I feared.",5,,3,
94,Kunal,Agrawal,4.4,2.8,Computer Science,"Unhelpful, class average was in the 40s, didn't seem to care whether anyone was failing or not, took weeks to respond to emails.  She only seems to be here because she does ""exciting"" research, as she really can't teach.",5,,2,
95,Aaron,Bobick,3,4,Computer Science,"Love this funny guy! Online computer vision course on Udacity. Oh my gawd, camera girl is pretty cute too and so sweet. Already took a computer vision, so just a refresher so far. Could see how parts might be a bit fast for new people. Wonderfu free course. Thank you! Heard he's liberal. Thats a deal breaker... kidding! for the most part :P",3,Incomplete,5,Tests? Not many--Hilarious--Would take again
96,Aaron,Bobick,3,4,Computer Science,"Not bad for a tough class, he is funny and a pretty cool teacher.  Go to the review sessions for tests and the sessions where they do your homework for you and you can make an A.",3,,5,
97,Aaron,Bobick,3,4,Computer Science,"Bobick is the best of the three 1371 teachers, and one of the others wrote the book.  He is entertaining to listen to a knows the stuff.  His stupid and dry sense of humor is also amusing.  I recomend him to anyone taking 1371.",3,Not_Sure_Yet,5,
98,Aaron,Bobick,3,4,Computer Science,he goes way to fast and expects you to understand everything. the cs department in general sucks b/c there are way too many people taking this class. the ta's could be better.,4,B+,2,
99,Aaron,Bobick,3,4,Computer Science,Damn liberal who felt he needed to express his political views through very stupid jokes the entire f'in class.  Hated him.  He sucked.  The first day he said don't ask me questions I'm not the one to help you.  Ask the other teacher that is teaching this class.... now there is a high quality teacher if i've EVER seen one...RIGHT&#63;,3,,3,
100,Aaron,Bobick,3,4,Computer Science,"Matlab & Java programming & concepts, Easy Class, Work in groups for Homework, tests arent bad, TA's very helpful, easy A for me. Bobick is a hillarious prof, easy to understand, relates concepts VERY well, would definitely take this guy again!",2,,5,
101,Sanjoy,Baruah,3.5,3.8,Engineering,Very nice and smart professor!,2,A-,5,
102,Sanjoy,Baruah,3.5,3.8,Engineering,"Really cares what students get out of the course. He has clear objectives about what to teach, and we achieved them by the end of the course. Could improve communication of some definitions and relies on you doing a lot of &quot;recommended&quot; reading which is not optional in order to well. Better than other algorithms courses at conveying deep material.",4,B,4,Accessible outside class--Get ready to read--Participation matters
103,Sanjoy,Baruah,3.5,3.8,Engineering,Baruah was fantastic at explaining complex concepts. Many of the early WashU classes (247 in particular) are very deficient in what they teach. Baruah was great at figuring out exactly what Cytron missed in 247 and explaining it clearly.,3,A+,5,Respected--Amazing lectures
104,Sanjoy,Baruah,3.5,3.8,Engineering,"He assumes that everyone has seen the material before and therefore doesn't explain many things. I'm not sure how great of a teacher he is...I learned more from doing the homework and watching YouTube than his lectures. Exams are really difficult, but he ended up dropping one of them by making the final optional. Textbook practice problems help.",4,B,2,Lots of homework--Get ready to read--Test heavy
105,Sanjoy,Baruah,3.5,3.8,Engineering,"He is very nice and tries to explain things very thoroughly during lecture. However, he sometimes assumes students already have knowledge of certain topics and breezes over explanations. He goes through examples of proofs during lecture (which are not included in lecture slides), so lecture attendance is important. YouTube is your friend.",4,Not sure yet,2,Get ready to read--Skip class? You won't pass.--GRADED BY FEW THINGS
106,Yixin,Chen,3,3.8,Computer Science,"Although Chen is a decent lecturer, his class design is awful. You'd learn more about the topic in the first three weeks of the electrical engineering undergrad course. Chen lectured around 6 times and the rest were peer presentations (he doesn't even attend these himself) with no in-depth content. Insanely easy A but don't expect to learn.",1,A,1,Group projects--Graded by few things
107,Yixin,Chen,3,3.8,Computer Science,"This class is ridiculously easy compared to any 500-level class, especially a Theory class. His lectures are very clear, but it only lasts for a month, and the rest are presentations and a group project, which are all graded uniformly.",1,A,2,Graded by few things
108,Yixin,Chen,3,3.8,Computer Science,"He is very knowledgeable about the topic, right to the point. dunno about others, but this course has the right difficulty for me who just want to know more about optimization but don't like too much math. the course presentations by peers are awesome as they cover some current applications in machine learning, which I am eager to learn about",3,,5,Participation matters--Inspirational--Amazing lectures
109,Yixin,Chen,3,3.8,Computer Science,"Prof Chen is going to offer about 10 lectures and skip the rest of the semester. So you basically just going to listen to peer's lectures, which has various quality.",1,A,2,
110,Yixin,Chen,3,3.8,Computer Science,"Chen is an expert in optimization. What I liked most is the organization of the course: a mixture of classical stuff and modern applications. He would condense a 400 page textbook in to a series of insightful slides and pick out the key concepts for us. Oh, you don't need to be a math genius to pass this course.",2,Not sure yet,5,Inspirational--Hilarious--Amazing lectures
111,Yixin,Chen,3,3.8,Computer Science,"You'll learn the core material of nonlinear optimization pretty solidly, as that's the part Dr. Chen covers himself. The modern stuff is, unfortunately, left to students (who are all assigned to groups, each group giving one lecture on modern techniques). Some of the student lectures were excellent, but others left quite a bit to be desired.",4,A,3,Tests? Not many--GRADED BY FEW THINGS--GROUP PROJECTS
112,Yixin,Chen,3,3.8,Computer Science,"Get the core knowledge of nonlinear optimization from a series of insightful lectures, notes, and examples. No deep theories or hard maths, suitable for those who want to apply optimization in their research or practical problems.",2,A+,5,
113,Yixin,Chen,3,3.8,Computer Science,"Do the Labs, Studios and Extensions on time. Listen to the lectures, you will be ready for the exams. ",2,A,4,
114,Yixin,Chen,3,3.8,Computer Science,He is now my favorite professor - lighthearted and well-meaning.  He clearly has a very deep knowledge about and beyond this subject. He can always find a way to cleverly explain difficult concept through drawings and metaphors. Also he has a good sense of humor and told quite  a few good jokes in this class. ,3,,5,
115,Yixin,Chen,3,3.8,Computer Science,"Very good teacher, although sometimes not very clear and too quick. He is certainly a truly smart guy with deep knowledge of CS. His class is most suited for those who are keen to learn and self-motivated.",4,,4,
116,Yixin,Chen,3,3.8,Computer Science,A good and fun teacher. He introduces Java by showing a lot of cool stuff such as drawing graphics and playing music. I'm now obsessed with it,2,,5,
117,Yixin,Chen,3,3.8,Computer Science,"He's a very boring lecturer.  Luckily, you only need to look at the slides he sends out.  Unfortunately, there are quizes during lecture, so you have to attend.",3,,1,
118,Yixin,Chen,3,3.8,Computer Science,He is good enough as a professor. The occasional showing of his sense of humor always cracks me up.,4,,4,
119,Yixin,Chen,3,3.8,Computer Science,Handsome young prof with living coding and magic tricks!,2,,5,
120,Yixin,Chen,3,3.8,Computer Science,"Good professor. Thanks for a great semester. I am now seriously considering to get a minor in computer science, a thought that seemed crazy before the class.",4,,4,
121,Yixin,Chen,3,3.8,Computer Science,"He made the grading clear at the beginning. I had a great semester and learned a lot. The CSE131 is not as easy as one would except for a introductory course. Overall a good professor, accessible and fun. The live coding he did during class is very helpful.",3,,5,
122,Yixin,Chen,3,3.8,Computer Science,Chen is a terrible teacher.  He teaches this intro-level class as though the students have been doing computer science their whole lives.  His accent is difficult to understand and his teachings are nearly irrelevant to the quizes.  This is a consensus among most of the students in his class.,4,,2,
123,Yixin,Chen,3,3.8,Computer Science,"Very smart, but not a great teacher. You will have to go to the TAs a lot. Recommend using outside reading to supplement the instruction if you want to learn this material.",3,,1,
124,Yixin,Chen,3,3.8,Computer Science,"Not very good at explaining concepts, seems unwilling to provide assistance outside of class other than TAs. Sometimes hard to understand through his thick asian accent.",3,,3,
125,Yixin,Chen,3,3.8,Computer Science,He is a very smart guy. Lectures are helpful -- explain difficult concepts almost effortlessly,4,,4,
126,Michael,Brent,2.4,2.1,Computer Science,"You'll read a tough paper for every lecture (+quiz) and write difficult algorithms in a language you may have never seen before. But, you'll learn a lot. His class is doable as an undergrad. Just stay on top of reading and dont assume you can knock out the exercises in a 4 hour binge session.",3,A-,5,Get ready to read--Skip class? You won't pass.--Clear grading criteria
127,Michael,Brent,2.4,2.1,Computer Science,"(1) Kind but lack of teaching skill. (2) Too many reading yet almost no supplement reading materials. (3) The explanation of readings are not insigntful. Cant even prepare to answer relevant questions. (4) Quiz on those reading. Briefly, you dont even need to register the lecture to learn as you are reading on your own, not even with slides.",1,,1,Get ready to read--LOTS OF HOMEWORK--SO MANY PAPERS
